Item Name,Item ID,Item meta,Has NBT,Display Name
minecraft:iron_ingot,265,0,false,Iron Ingot
minecraft:gold_ingot,266,0,false,Gold Ingot
minecraft:brick,336,0,false,Brick
minecraft:netherbrick,405,0,false,Nether Brick
AdvancedSolarPanel:asp_crafting_items,4295,10,false,Iridium Ingot
AdvancedSolarPanel:asp_crafting_items,4295,11,false,Uranium Ingot
Avaritia:Resource,6216,1,false,Crystal Matrix Ingot
Avaritia:Resource,6216,4,false,Cosmic Neutronium Ingot
Avaritia:Resource,6216,6,false,Infinity Ingot
BloodArsenal:blood_infused_iron,6376,0,false,Blood Infused Iron Ingot
Botania:manaResource,6073,0,false,Manasteel Ingot
Botania:manaResource,6073,4,false,Terrasteel Ingot
Botania:manaResource,6073,7,false,Elementium Ingot
Botania:manaResource,6073,14,false,Gaia Spirit Ingot
DraconicEvolution:draconiumIngot,7733,0,false,Draconium Ingot
DraconicEvolution:draconicIngot,7747,0,false,Awakened Draconium Ingot
EnderIO:itemAlloy,5281,0,false,Electrical Steel
EnderIO:itemAlloy,5281,1,false,Energetic Alloy
EnderIO:itemAlloy,5281,2,false,Vibrant Alloy
EnderIO:itemAlloy,5281,3,false,Redstone Alloy
EnderIO:itemAlloy,5281,4,false,Conductive Iron
EnderIO:itemAlloy,5281,5,false,Pulsating Iron
EnderIO:itemAlloy,5281,6,false,Dark Steel
EnderIO:itemAlloy,5281,7,false,Soularium
EnderIO:itemAlloy,5281,8,false,End Steel
EnderIO:itemAlloyEndergy,5283,0,false,Clay Compound
EnderIO:itemAlloyEndergy,5283,1,false,Crystalline Alloy
EnderIO:itemAlloyEndergy,5283,2,false,Melodic Alloy
EnderIO:itemAlloyEndergy,5283,3,false,Stellar Alloy
EnderIO:itemAlloyEndergy,5283,4,false,Crystalline Pink Slime
EnderIO:itemAlloyEndergy,5283,5,false,Energetic Silver
EnderIO:itemAlloyEndergy,5283,6,false,Vivid Alloy
EnderIO:itemPowderIngot,5285,6,false,Enderium Base
ExtraUtilities:unstableingot,4591,0,true,Unstable Ingot
ExtraUtilities:unstableingot,4591,2,false,"Mobius ""Unstable/Stable"" Ingot"
ExtraUtilities:bedrockiumIngot,4603,0,false,Bedrockium Ingot
GalacticraftAmunRa:item.baseItem,5909,11,false,Uranium Ingot
HardcoreEnderExpansion:endium_ingot,4911,0,false,Endium Ingot
SGCraft:naquadahIngot,10405,0,false,Naquadah Alloy Ingot
TConstruct:materials,4610,3,false,Cobalt Ingot
TConstruct:materials,4610,4,false,Ardite Ingot
TConstruct:materials,4610,5,false,Manyullyn Ingot
TConstruct:materials,4610,13,false,Bronze Ingot
TConstruct:materials,4610,14,false,Aluminum Brass Ingot
TConstruct:materials,4610,15,false,Obzinite Ingot
TConstruct:materials,4610,18,false,Obsidian Ingot
TConstruct:materials,4610,34,false,Pig Iron Ingot
TaintedMagic:ItemMaterial,10173,0,false,Shadowmetal Ingot
Thaumcraft:ItemResource,4374,2,false,Thaumium Ingot
Thaumcraft:ItemResource,4374,16,false,Void Metal Ingot
ThaumicTinkerer:kamiResource,10569,2,false,Ichorium
TwilightForest:item.ironwoodIngot,6435,0,false,Ironwood Ingot
TwilightForest:item.fieryIngot,6452,0,false,Fiery Ingot
TwilightForest:item.knightMetal,6493,0,false,Knightmetal Ingot
bartworks:gt.bwMetaGeneratedingot,10718,3,false,Zirconium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,30,false,Thorium 232 Ingot
bartworks:gt.bwMetaGeneratedingot,10718,39,false,Californium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,40,false,Calcium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,43,false,BArTiMaEuSNeK Ingot
bartworks:gt.bwMetaGeneratedingot,10718,64,false,Ruthenium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,78,false,Rhodium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,88,false,Rhodium-Plated Palladium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,90,false,Ruridit Ingot
bartworks:gt.bwMetaGeneratedingot,10718,92,false,High Durability Compound Steel Ingot
bartworks:gt.bwMetaGeneratedingot,10718,96,false,Ademic Steel Ingot
bartworks:gt.bwMetaGeneratedingot,10718,104,false,Fluorophlogopite Ingot
bartworks:gt.bwMetaGeneratedingot,10718,11503,false,Tantalum Hafnium Carbide Ingot
bartworks:gt.bwMetaGeneratedingot,10718,32237,false,Magnesia Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10022,false,Atomic Separation Catalyst Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10024,false,Extremely Unstable Naquadah Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10053,false,Zn-Th Alloy Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10082,false,Zircaloy-4 Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10083,false,Zircaloy-2 Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10084,false,Incoloy-903 Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10085,false,Adamantium Alloy Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10096,false,MAR-M200 Steel Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10097,false,MAR-Ce-M200 Steel Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10098,false,Lithium Chloride Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10099,false,Signalium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10101,false,Lumiium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10102,false,Artherium-Sn Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10103,false,Tanmolyium Beta-C Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10104,false,Dalisenite Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10105,false,Hikarium Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10106,false,Tairitsu Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10109,false,Precious Metals Alloy Ingot
bartworks:gt.bwMetaGeneratedingot,10718,10110,false,Enriched Naquadah Alloy Ingot
